0,1
food,23857
place,23250
great,22853
good,22654
service,17641
time,14113
like,13237
just,13072
really,10387
best,8574
nice,8162
love,8081
staff,7936
friendly,7815
got,7679
dont,7616
ive,7025
definitely,6781
amazing,6654
ordered,6093
try,6089
come,5979
chicken,5921
recommend,5919
went,5917
delicious,5905
came,5895
did,5849
order,5745
little,5568
restaurant,5510
didnt,5410
experience,5174
people,5164
pretty,4819
make,4794
better,4767
going,4701
new,4607
menu,4588
wait,4544
pizza,4351
fresh,4208
day,4170
location,4116
way,4102
sure,4049
price,3998
know,3985
right,3937
vegas,3891
want,3847
times,3843
work,3801
bar,3786
awesome,3752
night,3747
say,3732
lunch,3685
eat,3624
customer,3570
took,3550
excellent,3420
clean,3399
bad,3392
area,3386
super,3379
said,3369
minutes,3300
happy,3299
worth,3291
think,3253
small,3236
bit,3147
tried,3093
lot,3078
prices,3068
salad,3029
quality,3010
wasnt,3001
drinks,2973
home,2952
cheese,2934
long,2905
sauce,2902
looking,2863
years,2843
need,2834
highly,2817
dinner,2800
atmosphere,2788
meal,2773
favorite,2757
store,2740
feel,2704
hot,2645
told,2642
coffee,2632
room,2615
hour,2589
asked,2585
table,2563
coming,2525
stars,2523
burger,2515
different,2504
youre,2489
fries,2475
breakfast,2466
big,2455
car,2433
visit,2429
selection,2396
family,2394
job,2393
thing,2391
wanted,2375
perfect,2369
taste,2349
friends,2336
away,2302
spot,2297
sushi,2293
check,2275
drink,2255
tasty,2253
care,2252
quick,2243
server,2232
sweet,2223
fast,2217
things,2214
loved,2202
free,2196
fun,2193
helpful,2180
rice,2178
places,2176
busy,2171
beer,2169
sandwich,2136
look,2109
overall,2101
special,2086
called,2045
meat,2043
thats,2028
disappointed,1980
old,1971
left,1970
used,1933
use,1924
gave,1922
kind,1914
business,1900
huge,1900
fried,1897
getting,1890
ask,1866
ill,1865
town,1859
shop,1850
line,1843
flavor,1833
soup,1831
absolutely,1825
large,1808
far,1807
wonderful,1799
wont,1793
money,1786
actually,1786
fantastic,1779
inside,1776
open,1759
enjoyed,1752
house,1751
